module,outer_tracker_kwh,inner_tracker_kwh,ecologits_llm_api_kwh,sbst_only_kwh,targeted_gen_total_kwh,overall_total_kwh
pysnooper.pycompat,0.001627,0.001211,0.000344,0.000416,0.001554,0.001971
pysnooper.tracer,0.001135,0.000871,0.000259,0.000264,0.001129,0.001393
pysnooper.utils,0.001626,0.001588,0.000651,3.8e-05,0.002239,0.002277
pysnooper.variables,0.001306,0.001144,0.000396,0.000162,0.00154,0.001702
blib2to3.pgen2.parse,0.00123,0.001195,0.000487,3.5e-05,0.001682,0.001717
blib2to3.pgen2.pgen,0.001654,0.001464,0.000415,0.00019,0.001879,0.002069
blib2to3.pytree,0.001009,0.000623,0.000196,0.000386,0.000818,0.001204
codetiming._timers,0.001655,0.001622,0.000689,3.4e-05,0.002311,0.002344
cookiecutter.prompt,0.001642,0.001574,0.000692,6.8e-05,0.002266,0.002334
cookiecutter.replay,0.001599,0.001587,0.000652,1.2e-05,0.002239,0.002251
cookiecutter.zipfile,0.001637,0.001598,0.000624,3.9e-05,0.002222,0.002261
dataclasses_json.core,0.001208,0.000784,0.000284,0.000424,0.001068,0.001492
dataclasses_json.mm,0.001628,0.001228,0.000375,0.0004,0.001603,0.002003
dataclasses_json.undefined,0.001167,0.000931,0.000329,0.000236,0.00126,0.001495
docstring_parser.common,0.001627,0.001603,0.000479,2.4e-05,0.002082,0.002105
flutes.iterator,0.001744,0.001602,0.000434,0.000141,0.002036,0.002178
flutes.timing,0.001275,0.001256,0.000411,1.9e-05,0.001667,0.001686
flutils.decorators,0.001647,0.001631,0.000622,1.6e-05,0.002253,0.002269
flutils.packages,0.001633,0.001533,0.000513,0.0001,0.002046,0.002145
httpie.client,0.001628,0.001328,0.000356,0.0003,0.001684,0.001984
httpie.plugins.base,0.001625,0.001489,0.000552,0.000136,0.00204,0.002177
py_backwards.compiler,0.001663,0.001636,0.000628,2.8e-05,0.002263,0.002291
py_backwards.main,0.001645,0.001555,0.000433,8.9e-05,0.001988,0.002077
py_backwards.transformers.six_moves,0.001632,0.001619,0.000505,1.3e-05,0.002123,0.002137
pymonet.maybe,0.00164,0.001612,0.000648,2.8e-05,0.00226,0.002288
pymonet.task,0.00167,0.001651,0.000541,1.8e-05,0.002193,0.002211
pypara.accounting.journaling,0.001627,0.001591,0.000563,3.5e-05,0.002154,0.002189
pypara.accounting.ledger,0.001135,0.001054,0.000458,8.1e-05,0.001511,0.001592
pypara.exchange,0.001643,0.001615,0.000554,2.8e-05,0.00217,0.002198
semantic_release.ci_checks,0.001652,0.001616,0.000527,3.6e-05,0.002143,0.00218
string_utils.generation,0.001631,0.001583,0.000682,4.8e-05,0.002265,0.002312
string_utils.validation,0.001647,0.001532,0.000472,0.000114,0.002004,0.002119
pytutils.env,0.000326,0.000289,0.00012,3.6e-05,0.00041,0.000446
sty.primitive,0.00165,0.001607,0.000479,4.2e-05,0.002086,0.002128
thonny.plugins.pgzero_frontend,0.001669,0.001643,0.000479,2.5e-05,0.002122,0.002148
thonny.roughparse,0.001634,0.0004,0.000138,0.001234,0.000538,0.001772
tornado.auth,0.001631,0.001005,0.000332,0.000626,0.001336,0.001963
tornado.escape,0.001631,0.001529,0.000571,0.000102,0.0021,0.002202
tornado.locks,0.001663,0.001553,0.000437,0.00011,0.00199,0.0021
tqdm.contrib.logging,0.001626,0.001351,0.000458,0.000274,0.001809,0.002084
tqdm.gui,0.001652,0.001574,0.000411,7.8e-05,0.001985,0.002063
typesystem.tokenize.positional_validation,0.001311,0.001269,0.000443,4.3e-05,0.001712,0.001755
typesystem.tokenize.tokenize_json,0.001655,0.00145,0.000452,0.000205,0.001901,0.002107
youtube_dl.downloader.http,0.001665,0.001477,0.000321,0.000189,0.001798,0.001987
youtube_dl.extractor.archiveorg,0.001626,0.001461,0.000454,0.000165,0.001914,0.00208
youtube_dl.postprocessor.common,0.001686,0.001671,0.000613,1.5e-05,0.002283,0.002298
