module,outer_tracker_kwh,inner_tracker_kwh,ecologits_llm_api_kwh,sbst_only_kwh,targeted_gen_total_kwh,overall_total_kwh,outer_tracker_fp_gco2eq,inner_tracker_fp_gco2eq,ecologits_llm_api_fp_gco2eq,sbst_only_fp_gco2eq,targeted_gen_total_fp_gco2eq,overall_fp_gco2eq
pysnooper.pycompat,0.001627,0.001211,0.000344,0.000416,0.001554,0.001971,0.27659,0.20587,0.05848,0.07072,0.26418,0.33507
pysnooper.tracer,0.001135,0.000871,0.000259,0.000264,0.001129,0.001393,0.19295,0.14807,0.04403,0.04488,0.19193,0.23681
pysnooper.utils,0.001626,0.001588,0.000651,3.80E-05,0.002239,0.002277,0.27642,0.26996,0.11067,0.00646,0.38063,0.38709
pysnooper.variables,0.001306,0.001144,0.000396,0.000162,0.00154,0.001702,0.22202,0.19448,0.06732,0.02754,0.2618,0.28934
blib2to3.pgen2.parse,0.00123,0.001195,0.000487,3.50E-05,0.001682,0.001717,0.2091,0.20315,0.08279,0.00595,0.28594,0.29189
blib2to3.pgen2.pgen,0.001654,0.001464,0.000415,0.00019,0.001879,0.002069,0.28118,0.24888,0.07055,0.0323,0.31943,0.35173
blib2to3.pytree,0.001009,0.000623,0.000196,0.000386,0.000818,0.001204,0.17153,0.10591,0.03332,0.06562,0.13906,0.20468
codetiming._timers,0.001655,0.001622,0.000689,3.40E-05,0.002311,0.002344,0.28135,0.27574,0.11713,0.00578,0.39287,0.39848
cookiecutter.prompt,0.001642,0.001574,0.000692,6.80E-05,0.002266,0.002334,0.27914,0.26758,0.11764,0.01156,0.38522,0.39678
cookiecutter.replay,0.001599,0.001587,0.000652,1.20E-05,0.002239,0.002251,0.27183,0.26979,0.11084,0.00204,0.38063,0.38267
cookiecutter.zipfile,0.001637,0.001598,0.000624,3.90E-05,0.002222,0.002261,0.27829,0.27166,0.10608,0.00663,0.37774,0.38437
dataclasses_json.core,0.001208,0.000784,0.000284,0.000424,0.001068,0.001492,0.20536,0.13328,0.04828,0.07208,0.18156,0.25364
dataclasses_json.mm,0.001628,0.001228,0.000375,0.0004,0.001603,0.002003,0.27676,0.20876,0.06375,0.068,0.27251,0.34051
dataclasses_json.undefined,0.001167,0.000931,0.000329,0.000236,0.00126,0.001495,0.19839,0.15827,0.05593,0.04012,0.2142,0.25415
docstring_parser.common,0.001627,0.001603,0.000479,2.40E-05,0.002082,0.002105,0.27659,0.27251,0.08143,0.00408,0.35394,0.35785
flutes.iterator,0.001744,0.001602,0.000434,0.000141,0.002036,0.002178,0.29648,0.27234,0.07378,0.02397,0.34612,0.37026
flutes.timing,0.001275,0.001256,0.000411,1.90E-05,0.001667,0.001686,0.21675,0.21352,0.06987,0.00323,0.28339,0.28662
flutils.decorators,0.001647,0.001631,0.000622,1.60E-05,0.002253,0.002269,0.27999,0.27727,0.10574,0.00272,0.38301,0.38573
flutils.packages,0.001633,0.001533,0.000513,0.0001,0.002046,0.002145,0.27761,0.26061,0.08721,0.017,0.34782,0.36465
httpie.client,0.001628,0.001328,0.000356,0.0003,0.001684,0.001984,0.27676,0.22576,0.06052,0.051,0.28628,0.33728
httpie.plugins.base,0.001625,0.001489,0.000552,0.000136,0.00204,0.002177,0.27625,0.25313,0.09384,0.02312,0.3468,0.37009
py_backwards.compiler,0.001663,0.001636,0.000628,2.80E-05,0.002263,0.002291,0.28271,0.27812,0.10676,0.00476,0.38471,0.38947
py_backwards.main,0.001645,0.001555,0.000433,8.90E-05,0.001988,0.002077,0.27965,0.26435,0.07361,0.01513,0.33796,0.35309
py_backwards.transformers.six_moves,0.001632,0.001619,0.000505,1.30E-05,0.002123,0.002137,0.27744,0.27523,0.08585,0.00221,0.36091,0.36329
pymonet.maybe,0.00164,0.001612,0.000648,2.80E-05,0.00226,0.002288,0.2788,0.27404,0.11016,0.00476,0.3842,0.38896
pymonet.task,0.00167,0.001651,0.000541,1.80E-05,0.002193,0.002211,0.2839,0.28067,0.09197,0.00306,0.37281,0.37587
pypara.accounting.journaling,0.001627,0.001591,0.000563,3.50E-05,0.002154,0.002189,0.27659,0.27047,0.09571,0.00595,0.36618,0.37213
pypara.accounting.ledger,0.001135,0.001054,0.000458,8.10E-05,0.001511,0.001592,0.19295,0.17918,0.07786,0.01377,0.25687,0.27064
pypara.exchange,0.001643,0.001615,0.000554,2.80E-05,0.00217,0.002198,0.27931,0.27455,0.09418,0.00476,0.3689,0.37366
semantic_release.ci_checks,0.001652,0.001616,0.000527,3.60E-05,0.002143,0.00218,0.28084,0.27472,0.08959,0.00612,0.36431,0.3706
string_utils.generation,0.001631,0.001583,0.000682,4.80E-05,0.002265,0.002312,0.27727,0.26911,0.11594,0.00816,0.38505,0.39304
string_utils.validation,0.001647,0.001532,0.000472,0.000114,0.002004,0.002119,0.27999,0.26044,0.08024,0.01938,0.34068,0.36023
pytutils.env,0.000326,0.000289,0.00012,3.60E-05,0.00041,0.000446,0.05542,0.04913,0.0204,0.00612,0.0697,0.07582
sty.primitive,0.00165,0.001607,0.000479,4.20E-05,0.002086,0.002128,0.2805,0.27319,0.08143,0.00714,0.35462,0.36176
thonny.plugins.pgzero_frontend,0.001669,0.001643,0.000479,2.50E-05,0.002122,0.002148,0.28373,0.27931,0.08143,0.00425,0.36074,0.36516
thonny.roughparse,0.001634,0.0004,0.000138,0.001234,0.000538,0.001772,0.27778,0.068,0.02346,0.20978,0.09146,0.30124
tornado.auth,0.001631,0.001005,0.000332,0.000626,0.001336,0.001963,0.27727,0.17085,0.05644,0.10642,0.22712,0.33371
tornado.escape,0.001631,0.001529,0.000571,0.000102,0.0021,0.002202,0.27727,0.25993,0.09707,0.01734,0.357,0.37434
tornado.locks,0.001663,0.001553,0.000437,0.00011,0.00199,0.0021,0.28271,0.26401,0.07429,0.0187,0.3383,0.357
tqdm.contrib.logging,0.001626,0.001351,0.000458,0.000274,0.001809,0.002084,0.27642,0.22967,0.07786,0.04658,0.30753,0.35428
tqdm.gui,0.001652,0.001574,0.000411,7.80E-05,0.001985,0.002063,0.28084,0.26758,0.06987,0.01326,0.33745,0.35071
typesystem.tokenize.positional_validation,0.001311,0.001269,0.000443,4.30E-05,0.001712,0.001755,0.22287,0.21573,0.07531,0.00731,0.29104,0.29835
typesystem.tokenize.tokenize_json,0.001655,0.00145,0.000452,0.000205,0.001901,0.002107,0.28135,0.2465,0.07684,0.03485,0.32317,0.35819
youtube_dl.downloader.http,0.001665,0.001477,0.000321,0.000189,0.001798,0.001987,0.28305,0.25109,0.05457,0.03213,0.30566,0.33779
youtube_dl.extractor.archiveorg,0.001626,0.001461,0.000454,0.000165,0.001914,0.00208,0.27642,0.24837,0.07718,0.02805,0.32538,0.3536
youtube_dl.postprocessor.common,0.001686,0.001671,0.000613,1.50E-05,0.002283,0.002298,0.28662,0.28407,0.10421,0.00255,0.38811,0.39066
